,doi,ids,n_MOFs,MOFs_reported,n_mofs,MOFs_extracted,reported,Category
23,10.1021/acssuschemeng.9b01022,"[152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163]",12,"{'MOF1': {'metal': 'Al', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['THF'], 'reaction_time_hours': 72.0, 'temperature': 70.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF2': {'metal': 'Al', 'linker': '2,6-naphthalenedicarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 16.0, 'temperature': 210.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF3': {'metal': 'Al', 'linker': ""N,N'-piperazinebismethylphosphonic acid"", 'solvents': ['water'], 'reaction_time_hours': 130.0, 'temperature': 190.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AlCl3·6H2O'}, 'MOF4': {'metal': 'Al', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 210.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF5': {'metal': 'Al', 'linker': '1,2,4,5-benzenetetracarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 210.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF6': {'metal': 'Al', 'linker': ""4,4'-azobenzenedicarboxylic acid"", 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 210.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF7': {'metal': 'Al', 'linker': '1,4-naphthalenedicarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': 24.0, 'temperature': 180.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF8': {'metal': 'Al', 'linker': ""4,4',4'',4'''-(porphyrin-5,10,15,20-tetrayl)tetrabenzoic acid"", 'solvents': ['water'], 'reaction_time_hours': 16.0, 'temperature': 180.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AlCl3·6H2O'}, 'MOF9': {'metal': 'Al', 'linker': '2-aminoterephthalic acid', 'solvents': ['methanol'], 'reaction_time_hours': 5.0, 'temperature': 125.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AlCl3·6H2O'}, 'MOF10': {'metal': 'Al', 'linker': 'benzene-1,4-dicarboxylic acid', 'solvents': ['methanol'], 'reaction_time_hours': 16.0, 'temperature': 125.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Al(NO3)3·9H2O'}, 'MOF11': {'metal': 'Al', 'linker': '2-aminoterephthalic acid', 'solvents': ['isopropyl alcohol'], 'reaction_time_hours': 36.0, 'temperature': 120.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AlCl3·6H2O'}, 'MOF12': {'metal': 'Al', 'linker': ""4,4'-sulfonyldibenzoic acid"", 'solvents': ['water'], 'reaction_time_hours': 12.0, 'temperature': 150.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AlCl3·6H2O'}}",12,"{'MOF1': {'name': 'Al-MIL-53', 'metal_node': 'Aluminum', 'metal': 'Al', 'linker': 'Terephthalic acid', 'solvents': ['Water'], 'reaction_time': '3', 'reaction_time_unit': 'days', 'reaction_time_hours': '72', 'temperature': '220', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'Al-MIL-53', 'metal_node': 'Aluminum', 'metal': 'Al', 'linker': 'Terephthalic acid disodium salt', 'solvents': ['Water'], 'reaction_time': 'None', 'reaction_time_unit': 'None', 'reaction_time_hours': 'None', 'temperature': 'Less than 100', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': 'Aluminum fumarate', 'metal_node': 'Aluminum', 'metal': 'Al', 'linker': 'Fumaric acid', 'solvents': ['Water'], 'reaction_time': 'Less than 1', 'reaction_time_unit': 'h', 'reaction_time_hours': '1', 'temperature': '60', 'temperature_unit': 'C', 'successful': '1'}, 'MOF4': {'name': 'CAU-10', 'metal_node': 'Aluminum', 'metal': 'Al', 'linker': 'Isophthalic acid', 'solvents': ['Water', 'Ethanol'], 'reaction_time': 'None', 'reaction_time_unit': 'None', 'reaction_time_hours': 'None', 'temperature': 'Reflux', 'temperature_unit': 'C', 'successful': '1'}, 'MOF5': {'name': 'Fe-MIL-100', 'metal_node': 'Iron', 'metal': 'Fe', 'linker': 'Trimesic acid', 'solvents': ['Water'], 'reaction_time': '24', 'reaction_time_unit': 'h', 'reaction_time_hours': '24', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/acssuschemeng.9b01022,optimization
24,10.1021/acssuschemeng.7b01429,"[164, 165, 166, 167, 168]",5,"{'MOF1': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO'], 'reaction_time_hours': 1008.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Cu(NO3)2·2.5H2O'}, 'MOF2': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO', 'methanol'], 'reaction_time_hours': 1.0, 'temperature': 40.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·2.5H2O'}, 'MOF3': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO', 'methanol'], 'reaction_time_hours': nan, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 0.0, 'salt': 'Cu(NO3)2·2.5H2O'}, 'MOF4': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO', 'methanol'], 'reaction_time_hours': 1.0, 'temperature': 40.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·2.5H2O'}, 'MOF5': {'metal': 'Cu', 'linker': 'benzene-1,3,5-tricarboxylic acid', 'solvents': ['DMSO', 'methanol'], 'reaction_time_hours': 72.0, 'temperature': 40.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·2.5H2O'}}",5,"{'MOF1': {'name': 'HKUST-1', 'metal_node': 'copper(II) nitrate hemipentahydrate', 'metal': 'Copper', 'linker': 'benzene-1,3,5-tricarboxylic acid (BTC)', 'solvents': ['DMSO', 'methanol'], 'reaction_time': '10', 'reaction_time_unit': 'minutes', 'reaction_time_hours': '0.166', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'HKUST-1', 'metal_node': 'copper(II) nitrate hemipentahydrate', 'metal': 'Copper', 'linker': 'benzene-1,3,5-tricarboxylic acid (BTC)', 'solvents': ['DMSO', 'methanol'], 'reaction_time': '1', 'reaction_time_unit': 'hours', 'reaction_time_hours': '1', 'temperature': '40', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': 'HKUST-1', 'metal_node': 'copper(II) nitrate hemipentahydrate', 'metal': 'Copper', 'linker': 'benzene-1,3,5-tricarboxylic acid (BTC)', 'solvents': ['DMSO', 'methanol', 'CO2'], 'reaction_time': '24', 'reaction_time_unit': 'hours', 'reaction_time_hours': '24', 'temperature': '40', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/acssuschemeng.7b01429,optimization
25,10.1002/1521-3773(20011203)40:23<4422::aid-anie4422>3.0.co;2-g,[169],1,"{'MOF1': {'metal': 'Cd', 'linker': ""6'-methoxyl-(8S,9R)-cinchonan-9-ol-3-carboxylic acid"", 'solvents': ['ethanol'], 'reaction_time_hours': 72.0, 'temperature': 100.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cd(OH)2'}}",1,"{'MOF1': {'name': 'HOIZA [Cd(QA)2]', 'metal_node': 'Cadmium Hydroxide', 'metal': 'Cadmium', 'linker': 'Quitenine', 'solvents': ['Ethanol'], 'reaction_time': 'three', 'reaction_time_unit': 'days', 'reaction_time_hours': '72', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': '(S)-2-butanol [Cd(QA)2]', 'metal_node': 'Cadmium Hydroxide', 'metal': 'Cadmium', 'linker': 'Quitenine', 'solvents': ['None'], 'reaction_time': 'three', 'reaction_time_unit': 'days', 'reaction_time_hours': '72', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': '(S)-2-methyl-1-butanol [Cd(QA)2]', 'metal_node': 'Cadmium Hydroxide', 'metal': 'Cadmium', 'linker': 'Quitenine', 'solvents': ['None'], 'reaction_time': 'three', 'reaction_time_unit': 'days', 'reaction_time_hours': '72', 'temperature': '100', 'temperature_unit': 'C', 'successful': '1'}}",10.1002/1521-3773(20011203)40:23<4422::aid-anie4422>3.0.co;2-g,chiralty
26,10.1039/b806255b,[170],1,"{'MOF1': {'metal': 'Cd', 'linker': '2-(4,5-dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-5-ethyl-3-pyridinecarboxylic acid', 'solvents': ['water'], 'reaction_time_hours': nan, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cd(ClO4)2·6H2O'}}",1,"{'MOF1': {'name': 'Cd(Imazethapyr)2', 'metal_node': 'Cadmium(II) perchlorate hexahydrate', 'metal': 'Cd', 'linker': 'H-Imazethapyr', 'solvents': ['None'], 'reaction_time': 'two days', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/b806255b,chiralty
27,10.1039/c7ce00108h,"[171, 172, 173, 174]",4,"{'MOF1': {'metal': 'Cu', 'linker': '9,9-bis((S)-2-methylbutyl)-9H-fluorene-2,7-dicarboxylic acid', 'solvents': ['DMF', 'ethanol', 'water'], 'reaction_time_hours': 96.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF2': {'metal': 'Cu', 'linker': ""4,4'-(9,9-bis((S)-2-methylbutyl)-9H-fluorene-2,7-diyl)-dibenzoic acid"", 'solvents': ['DMF', 'ethanol', 'water'], 'reaction_time_hours': 96.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF3': {'metal': 'Cu', 'linker': ""3,3'-(9,9-bis((S)-2-methylbutyl)-9H-fluorene-2,7-diyl)-dibenzoic acid"", 'solvents': ['DMF', 'ethanol', 'water'], 'reaction_time_hours': 96.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}, 'MOF4': {'metal': 'Cu', 'linker': ""5,5'-(9,9-bis((S)-2-methylbutyl)-9H-fluorene-2,7-diyl)-diisophthalic acid"", 'solvents': ['DMF', 'ethanol', 'water'], 'reaction_time_hours': 96.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cu(NO3)2·3H2O'}}",4,"{'MOF6': {'name': 'Cu4(L1)4(EtOH)3(H2O)', 'metal_node': 'Cu-based paddle-wheels', 'metal': 'Cu', 'linker': 'H2L1', 'solvents': ['N,N-Dimethylformamide', 'Ethanol', 'Water', 'Hydrochloric acid'], 'reaction_time': '4', 'reaction_time_unit': 'days', 'reaction_time_hours': '96', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}, 'MOF7': {'name': 'Cu2(L2)2(H2O)(DMF)', 'metal_node': 'Cu-based paddle-wheels', 'metal': 'Cu', 'linker': 'H2L2', 'solvents': ['N,N-Dimethylformamide', 'Ethanol', 'Water', 'Hydrochloric acid'], 'reaction_time': '4', 'reaction_time_unit': 'days', 'reaction_time_hours': '96', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}, 'MOF8': {'name': 'Cu(L3)(EtOH)', 'metal_node': 'Cu-based paddle-wheels', 'metal': 'Cu', 'linker': 'H2L3', 'solvents': ['N,N-Dimethylformamide', 'Ethanol', 'Water', 'Hydrochloric acid'], 'reaction_time': '4', 'reaction_time_unit': 'days', 'reaction_time_hours': '96', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}, 'MOF9': {'name': 'Cu4(L4)2(H2O)3(DMF)', 'metal_node': 'Cu-based paddle-wheels', 'metal': 'Cu', 'linker': 'H4L4', 'solvents': ['N,N-Dimethylformamide', 'Ethanol', 'Water', 'Hydrochloric acid'], 'reaction_time': '4', 'reaction_time_unit': 'days', 'reaction_time_hours': '96', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c7ce00108h,chiralty
28,10.1039/c7ce00410a,[175],1,"{'MOF1': {'metal': 'Zn', 'linker': '(1R,2R,4R,5R)-2,5-bis(((R)-1-phenylethyl)amino)bicyclo[2.2.2]octane-1,4-dicarboxylic acid', 'solvents': ['DEF'], 'reaction_time_hours': 20.0, 'temperature': 80.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·4H2O'}}",1,"{'MOF1': {'name': 'DUT-129', 'metal_node': 'Zinc Ion', 'metal': 'Zinc', 'linker': 'Chir-H2bodc', 'solvents': ['N,N-diethylformamide'], 'reaction_time': '20', 'reaction_time_unit': 'h', 'reaction_time_hours': '20', 'temperature': '80', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c7ce00410a,chiralty
29,10.1038/35010088,"[176, 177]",2,"{'MOF1': {'metal': 'Zn', 'linker': '(4R,5R)-2,2-dimethyl-5-[(4-pyridinyl amino)carbonyl]-1,3-dioxolane-4-carboxylic acid ', 'solvents': ['methanol', 'water'], 'reaction_time_hours': 48.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}, 'MOF2': {'metal': 'Zn', 'linker': '(4S,5S)-2,2-dimethyl-5-[(4-pyridinyl amino)carbonyl]-1,3-dioxolane-4-carboxylic acid ', 'solvents': ['methanol', 'water'], 'reaction_time_hours': 48.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(NO3)2·6H2O'}}",2,"{'MOF1': {'name': 'D-POST-1', 'metal_node': 'Zinc oxo-bridged trinuclear unit', 'metal': 'Zinc', 'linker': 'Chiral organic ligand synthesized from D-tartaric acid', 'solvents': ['Ethanol', 'Methanol'], 'reaction_time': 'None', 'reaction_time_unit': 'None', 'reaction_time_hours': 'None', 'temperature': 'room temperature', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'L-POST-1', 'metal_node': 'Zinc oxo-bridged trinuclear unit', 'metal': 'Zinc', 'linker': 'Chiral organic ligand synthesized from L-tartaric acid', 'solvents': ['Ethanol', 'Methanol'], 'reaction_time': 'None', 'reaction_time_unit': 'None', 'reaction_time_hours': 'None', 'temperature': 'room temperature', 'temperature_unit': 'C', 'successful': '1'}}",10.1038/35010088,chiralty
30,10.1039/c9ra06920h,"[178, 179, 180]",3,"{'MOF1': {'metal': 'Tb', 'linker': '(2R,3R)-2,3-bis[(4-methylbenzoyl)oxy]succinic acid', 'solvents': ['methanol', 'water'], 'reaction_time_hours': 7.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'TbCl3·6H2O'}, 'MOF2': {'metal': 'Dy', 'linker': '(2R,3R)-2,3-bis[(4-methylbenzoyl)oxy]succinic acid', 'solvents': ['methanol', 'water'], 'reaction_time_hours': 7.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'DyCl3·5H2O'}, 'MOF3': {'metal': 'Ho', 'linker': '(2R,3R)-2,3-bis[(4-methylbenzoyl)oxy]succinic acid', 'solvents': ['ethanol', 'water'], 'reaction_time_hours': 7.0, 'temperature': 25.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'HoCl3·6H2O'}}",3,"{'MOF1': {'name': '[Tb(HDTTA)3(CH3OH)3]n', 'metal_node': 'Terbium(III) ion', 'metal': 'Tb', 'linker': 'di-p-toluoyl-D-tartaric acid', 'solvents': ['Methanol', 'Water'], 'reaction_time': '7', 'reaction_time_unit': 'h', 'reaction_time_hours': '7', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': '[Dy(HDTTA)3(CH3OH)3]n', 'metal_node': 'Dysprosium(III) ion', 'metal': 'Dy', 'linker': 'di-p-toluoyl-D-tartaric acid', 'solvents': ['Methanol', 'Water'], 'reaction_time': '7', 'reaction_time_unit': 'h', 'reaction_time_hours': '7', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': '[Ho(HDTTA)3(CH3OH)3]n', 'metal_node': 'Holmium(III) ion', 'metal': 'Ho', 'linker': 'di-p-toluoyl-D-tartaric acid', 'solvents': ['Ethanol', 'Water'], 'reaction_time': '7', 'reaction_time_unit': 'h', 'reaction_time_hours': '7', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/c9ra06920h,chiralty
31,10.1021/ic060891x,[181],1,"{'MOF1': {'metal': 'Cd', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['dichlorobenzene', 'methanol'], 'reaction_time_hours': 168.0, 'temperature': 70.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Cd(NO3)2·4H2O'}}",1,"{'MOF1': {'name': '1', 'metal_node': 'Zinc(II)', 'metal': 'Zn', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['Diethyl Ether', 'N,N-Dimethylformamide', 'Chloroform', 'Ethanol', 'Water'], 'reaction_time': '2', 'reaction_time_unit': 'weeks', 'reaction_time_hours': '336', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': '2', 'metal_node': 'Cadmium(II)', 'metal': 'Cd', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['Diethyl Ether', 'N,N-Dimethylformamide', 'Chloroform', 'Ethanol'], 'reaction_time': '2', 'reaction_time_unit': 'weeks', 'reaction_time_hours': '336', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': '3', 'metal_node': 'Cadmium(II)', 'metal': 'Cd', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['1,2-Dichlorobenzene', 'Methanol'], 'reaction_time': '1', 'reaction_time_unit': 'week', 'reaction_time_hours': '168', 'temperature': '70', 'temperature_unit': 'C', 'successful': '1'}, 'MOF4': {'name': '4', 'metal_node': 'Cadmium(II)', 'metal': 'Cd', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['Diethyl Ether', 'N,N-Dimethylformamide', 'Chloroform', 'Acetonitrile'], 'reaction_time': '2', 'reaction_time_unit': 'weeks', 'reaction_time_hours': '336', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF5': {'name': '5', 'metal_node': 'Cadmium(II)', 'metal': 'Cd', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['Diethyl Ether', 'N,N-Dimethylformamide', 'Chloroform', 'Ethanol'], 'reaction_time': '3', 'reaction_time_unit': 'days', 'reaction_time_hours': '72', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}, 'MOF6': {'name': '6', 'metal_node': 'Nickel(II)', 'metal': 'Ni', 'linker': ""(S)-2,2'-diethoxy-1,1'-binaphthyl-6,6'-bis(4-vinylpyridine)"", 'solvents': ['Diethyl Ether', 'N,N-Dimethylformamide', 'Chloroform', 'Ethanol'], 'reaction_time': '5', 'reaction_time_unit': 'days', 'reaction_time_hours': '120', 'temperature': '25', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/ic060891x,chiralty
32,10.1002/ange.200461214,"[182, 183]",2,"{'MOF1': {'metal': 'Zn', 'linker': ""6,6'-dichloro-2,2'-diethoxy-1,1'-binaphthalene-4,4'-bis(4-benzoic acid)"", 'solvents': ['DMF', 'methanol'], 'reaction_time_hours': 48.0, 'temperature': 50.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(ClO4)2·6H2O'}, 'MOF2': {'metal': 'Zn', 'linker': ""6,6'-dichloro-2,2'-dibenzyloxy-1,1'-binaphthalene-4,4'-bis(4-benzoic acid)"", 'solvents': ['DMF', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 50.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'ZnI2·6H2O'}}",2,"{'MOF1': {'name': 'Compound 1', 'metal_node': 'Zn4(m4-O)(L1)3(dmf)2', 'metal': 'Zinc', 'linker': '6,6’-dichloro-2,2’-diethoxy-1,1’-binaphthyl-4,4’-dibenzoic acid (L1-H2)', 'solvents': ['N,N-dimethylformamide', 'Methanol', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'h', 'reaction_time_hours': '48', 'temperature': '50', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'Compound 2', 'metal_node': 'Zn4(m4-O)(L2)3', 'metal': 'Zinc', 'linker': '6,6’-dichloro-2,2’-dibenzyloxy-1,1’-binaphthyl-4,4’-dibenzoic acid (L2-H2)', 'solvents': ['N,N-dimethylformamide', 'Ethanol', 'Water'], 'reaction_time': '48', 'reaction_time_unit': 'h', 'reaction_time_hours': '48', 'temperature': '50', 'temperature_unit': 'C', 'successful': '1'}}",10.1002/ange.200461214,chiralty
33,10.1039/B403609C,"[184, 185]",2,"{'MOF1': {'metal': 'Ag', 'linker': ""2,2'-dimethoxy-1,1'-binaphthyl-3,3'-bis(4-vinylpyridine)"", 'solvents': ['DMSO', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 70.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AgNO3'}, 'MOF2': {'metal': 'Ag', 'linker': ""2,2'-dimethoxy-1,1'-binaphthyl-3,3'-bis(4-vinylpyridine)"", 'solvents': ['DMSO', 'ethanol'], 'reaction_time_hours': 48.0, 'temperature': 70.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'AgClO4'}}",2,"{'MOF1': {'name': 'AgL2NO3', 'metal_node': 'Silver(I) Nitrate', 'metal': 'Ag', 'linker': '(S)-2,2A-dimethoxy-1,1A-binaphthyl-3,3A-bis(4-vinylpyridine)', 'solvents': ['Dimethyl sulfoxide', 'Ethanol'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '70', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': 'AgL2ClO4', 'metal_node': 'Silver(I) Perchlorate', 'metal': 'Ag', 'linker': '(S)-2,2A-dimethoxy-1,1A-binaphthyl-3,3A-bis(4-vinylpyridine)', 'solvents': ['Dimethyl sulfoxide', 'Ethanol'], 'reaction_time': '2', 'reaction_time_unit': 'days', 'reaction_time_hours': '48', 'temperature': '70', 'temperature_unit': 'C', 'successful': '1'}}",10.1039/B403609C,chiralty
34,10.1021/cm0202714,"[186, 187, 188, 189]",4,"{'MOF1': {'metal': 'Mn', 'linker': ""2,2'-diethoxy-1,1'-binaphthalene-6,6'-bisphosphonic acid"", 'solvents': ['methanol', 'water'], 'reaction_time_hours': 24.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'MnCO3'}, 'MOF2': {'metal': 'Co', 'linker': ""2,2'-diethoxy-1,1'-binaphthalene-6,6'-bisphosphonic acid"", 'solvents': ['methanol', 'water'], 'reaction_time_hours': 24.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'CoCO3'}, 'MOF3': {'metal': 'Cu', 'linker': ""2,2'-diethoxy-1,1'-binaphthalene-6,6'-bisphosphonic acid"", 'solvents': ['ethanol'], 'reaction_time_hours': 168.0, 'temperature': 130.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'CuO'}, 'MOF4': {'metal': 'Zn', 'linker': ""2,2'-diethoxy-1,1'-binaphthalene-6,6'-bisphosphonic acid"", 'solvents': ['methanol', 'water', 'pyridine'], 'reaction_time_hours': 24.0, 'temperature': 110.0, 'temperature_unit': 'C', 'successful': 1.0, 'salt': 'Zn(ClO4)2·6H2O'}}",4,"{'MOF1': {'name': '1', 'metal_node': 'Manganese', 'metal': 'Mn', 'linker': '2,2′-diethoxy-1,1′-binaphthalene-6,6′-bisphosphonic acid', 'solvents': ['Methanol', 'Water'], 'reaction_time': '24', 'reaction_time_unit': 'hours', 'reaction_time_hours': '24', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}, 'MOF2': {'name': '2', 'metal_node': 'Cobalt', 'metal': 'Co', 'linker': '2,2′-diethoxy-1,1′-binaphthalene-6,6′-bisphosphonic acid', 'solvents': ['Methanol', 'Water'], 'reaction_time': '24', 'reaction_time_unit': 'hours', 'reaction_time_hours': '24', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}, 'MOF3': {'name': '3', 'metal_node': 'Nickel', 'metal': 'Ni', 'linker': '2,2′-diethoxy-1,1′-binaphthalene-6,6′-bisphosphonic acid', 'solvents': ['Methanol'], 'reaction_time': '24', 'reaction_time_unit': 'hours', 'reaction_time_hours': '24', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}, 'MOF4': {'name': '4', 'metal_node': 'Copper', 'metal': 'Cu', 'linker': 'esterified derivative of 2,2′-diethoxy-1,1′-binaphthalene-6,6′-bisphosphonic acid', 'solvents': ['Ethanol'], 'reaction_time': '168', 'reaction_time_unit': 'hours', 'reaction_time_hours': '168', 'temperature': '130', 'temperature_unit': 'C', 'successful': '1'}, 'MOF5': {'name': '5', 'metal_node': 'Zinc', 'metal': 'Zn', 'linker': '2,2′-diethoxy-1,1′-binaphthalene-6,6′-bisphosphonic acid', 'solvents': ['Methanol', 'Water', 'Pyridine'], 'reaction_time': '24', 'reaction_time_unit': 'hours', 'reaction_time_hours': '24', 'temperature': '110', 'temperature_unit': 'C', 'successful': '1'}}",10.1021/cm0202714,chiralty
